clusterID,celltype,subtype,,,,,,,,,
0,Tcell,CD4T,,,,,,,,,
1,,,,,,,,,,,
2,Bcell,Bcell,,,,,,,,,
3,,,,,,,,,,,
4,,,,,Endothelial,Endothelial,,,,,
5,Endothelial,Endothelial,,,Myeloid,Macrophage,,,,,
6,Myeloid,Macrophage,,,Tcell,CD4T,,,,,
7,Tcell,CD8T,,,Epithelial,Epithelial,,,,18,fucked
8,,,,,Epithelial,Epithelial,,,,19,CD4T
9,Myeloid,Macrophage,,,Epithelial,Epithelial,,,,1,Macrophage
10,Endothelial,Endothelial,,,Tcell,CD4T,,,,9,Bcell
11,Endothelial,Endothelial,,,Endothelial,Endothelial,,,,12,CD8T_Trm
12,Tcell,CD8T,,,Myeloid,DC,,,,8,CD8T
13,Endothelial,Endothelial,,,Epithelial,Epithelial,,,,14,CD4T_Tfh
14,,,,,Bcell,Bcell,,,,13,CD4T
15,Endothelial,Endothelial,,,Tcell,CD8T,,,,3,CD4T
16,Unsure,Unsure,,,Myeloid,Macrophage,,,,16,DC
17,Endothelial,Endothelial,,,Epithelial,Epithelial,,,,15,Macrophage
18,Myeloid,DC,,,Epithelial,Epithelial,,,,2,Endothelial
19,,,,,Myeloid,Myeloid,,,,6,Epithelial
20,Myeloid,Macrophage,,,Myeloid,Macrophage,,,,17,CD4T
21,Tcell,CD4T,,,Epithelial,Epithelial,,,,20,Epithelial
22,Tcell,CD4T,,,Epithelial,Epithelial,,,,10,Epithelial
23,Unsure,Unsure,,,Tcell,CD4T,,,,7,DC
24,Unsure,Unsure,,,Unsure,Unsure,,,,4,Epithelial
25,Unsure,Unsure,,,Tcell,CD4T,,,,11,Epithelial
,,,,,Epithelial,Epithelial,,,,5,Epithelial
,,,,,Tcell,CD4T,,,,0,Epithelial
,,,,,Unsure,Unsure,,,,,
