cell_type_1,cell_type_2,cell_type_3,cell_type_4,cell_type_5
Epithelial_cell,Normal_Epithelial,0,0,0
Epithelial_cell,Tumor_cell,0,0,0
Stroma_cell,Endothelial_cell,0,0,0
Stroma_cell,Red_blood_cell,0,0,0
Stroma_cell,Fibroblast,0,0,0
Stroma_cell,Adipocyte,0,0,0
Immune_cell,NKcell,0,0,0
Immune_cell,Bcell,Bcell_Unactivated,0,0
Immune_cell,Bcell,Bcell_Activated,0,0
Immune_cell,Bcell,Bcell_Plasma,0,0
Immune_cell,Myeloid,Macrophage,0,0
Immune_cell,Myeloid,Monocyte,0,0
Immune_cell,Myeloid,Neutrophil,0,0
Immune_cell,Myeloid,Dendritic_cell,0,0
Immune_cell,Tcell,Tcell_gamma_delta,0,0
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_NKT,0
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD4T,Naive_CD4T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD4T,Memory_CD4T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD4T,Th1_Effector_CD4T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD4T,Early_Activation_CD4T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD4T,Late_Activation_CD4T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD4T,Th2_Regulatory_CD4T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD8T,Naive_CD8T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD8T,Memory_CD8T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD8T,Effector_CD8T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD8T,Early_Activation_CD8T
Immune_cell,Tcell,Tcell_alpha_beta,Tcell_CD8T,Late_Activation_CD8T
